# SÉANCES DE MUSCULATION
date,name,type,exName,exNotes,isUnilateral,setOrder,reps,weight,repsRight,weightRight,rpe,notes
2026-03-02,Push — Poitrine & Épaules,push,Développé couché,,non,1,8,80,,,,Bonne séance — montée en charge progressive
2026-03-02,Push — Poitrine & Épaules,push,Développé couché,,non,2,8,80,,,,
2026-03-02,Push — Poitrine & Épaules,push,Développé couché,,non,3,6,82.5,,,,
2026-03-02,Push — Poitrine & Épaules,push,Développé militaire,,non,1,10,50,,,,
2026-03-02,Push — Poitrine & Épaules,push,Développé militaire,,non,2,10,50,,,,
2026-03-02,Push — Poitrine & Épaules,push,Développé militaire,,non,3,8,50,,,,
2026-03-02,Push — Poitrine & Épaules,push,Élévations latérales,,non,1,15,12,,,,
2026-03-02,Push — Poitrine & Épaules,push,Élévations latérales,,non,2,15,12,,,,
2026-03-02,Push — Poitrine & Épaules,push,Élévations latérales,,non,3,12,12,,,,
2026-03-02,Push — Poitrine & Épaules,push,Dips,,non,1,12,0,,,,
2026-03-02,Push — Poitrine & Épaules,push,Dips,,non,2,10,0,,,,
2026-03-02,Push — Poitrine & Épaules,push,Dips,,non,3,10,0,,,,
2026-03-04,Pull — Dos & Biceps,pull,Tractions pronation,,non,1,8,0,,,,
2026-03-04,Pull — Dos & Biceps,pull,Tractions pronation,,non,2,8,0,,,,
2026-03-04,Pull — Dos & Biceps,pull,Tractions pronation,,non,3,6,0,,,,
2026-03-04,Pull — Dos & Biceps,pull,Tractions pronation,,non,4,6,0,,,,
2026-03-04,Pull — Dos & Biceps,pull,Rowing barre,,non,1,10,80,,,,
2026-03-04,Pull — Dos & Biceps,pull,Rowing barre,,non,2,10,80,,,,
2026-03-04,Pull — Dos & Biceps,pull,Rowing barre,,non,3,8,80,,,,
2026-03-04,Pull — Dos & Biceps,pull,Tirage poitrine,,non,1,12,55,,,,
2026-03-04,Pull — Dos & Biceps,pull,Tirage poitrine,,non,2,12,55,,,,
2026-03-04,Pull — Dos & Biceps,pull,Tirage poitrine,,non,3,10,57.5,,,,
2026-03-04,Pull — Dos & Biceps,pull,Curl biceps barre,,non,1,12,30,,,,
2026-03-04,Pull — Dos & Biceps,pull,Curl biceps barre,,non,2,12,30,,,,
2026-03-04,Pull — Dos & Biceps,pull,Curl biceps barre,,non,3,10,32,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Squat barre,,non,1,8,100,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Squat barre,,non,2,8,100,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Squat barre,,non,3,6,105,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Squat barre,,non,4,6,105,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Leg press,,non,1,12,150,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Leg press,,non,2,12,150,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Leg press,,non,3,10,160,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Curl ischio allongé,,non,1,12,40,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Curl ischio allongé,,non,2,12,40,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Curl ischio allongé,,non,3,10,45,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Mollets debout,,non,1,20,80,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Mollets debout,,non,2,20,80,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Mollets debout,,non,3,20,80,,,,
2026-03-07,Jambes — Squat & Ischio,legs,Mollets debout,,non,4,20,80,,,,
2026-03-09,Push — Incliné & Triceps,push,Développé incliné haltères,,non,1,10,28,,,,
2026-03-09,Push — Incliné & Triceps,push,Développé incliné haltères,,non,2,10,28,,,,
2026-03-09,Push — Incliné & Triceps,push,Développé incliné haltères,,non,3,8,30,,,,
2026-03-09,Push — Incliné & Triceps,push,Oiseau,,non,1,12,14,,,,
2026-03-09,Push — Incliné & Triceps,push,Oiseau,,non,2,12,14,,,,
2026-03-09,Push — Incliné & Triceps,push,Oiseau,,non,3,10,14,,,,
2026-03-09,Push — Incliné & Triceps,push,Triceps poulie haute,,non,1,15,30,,,,
2026-03-09,Push — Incliné & Triceps,push,Triceps poulie haute,,non,2,15,32,,,,
2026-03-09,Push — Incliné & Triceps,push,Triceps poulie haute,,non,3,12,32,,,,
2026-03-09,Push — Incliné & Triceps,push,Triceps poulie haute,,non,4,12,32,,,,
2026-03-09,Push — Incliné & Triceps,push,Développé militaire haltères,,non,1,10,22,,,,
2026-03-09,Push — Incliné & Triceps,push,Développé militaire haltères,,non,2,10,22,,,,
2026-03-09,Push — Incliné & Triceps,push,Développé militaire haltères,,non,3,8,24,,,,
2026-03-11,Pull — Rowing & Curl,pull,Rowing haltère,Appui sur banc,oui,1,12,32,12,32,,
2026-03-11,Pull — Rowing & Curl,pull,Rowing haltère,Appui sur banc,oui,2,12,32,12,32,,
2026-03-11,Pull — Rowing & Curl,pull,Rowing haltère,Appui sur banc,oui,3,10,34,10,34,,
2026-03-11,Pull — Rowing & Curl,pull,Tractions supination,,non,1,8,0,,,,
2026-03-11,Pull — Rowing & Curl,pull,Tractions supination,,non,2,8,0,,,,
2026-03-11,Pull — Rowing & Curl,pull,Tractions supination,,non,3,7,0,,,,
2026-03-11,Pull — Rowing & Curl,pull,Curl marteau,,non,1,12,18,,,,
2026-03-11,Pull — Rowing & Curl,pull,Curl marteau,,non,2,12,18,,,,
2026-03-11,Pull — Rowing & Curl,pull,Curl marteau,,non,3,10,20,,,,
2026-03-11,Pull — Rowing & Curl,pull,Face pull,,non,1,20,25,,,,
2026-03-11,Pull — Rowing & Curl,pull,Face pull,,non,2,20,25,,,,
2026-03-11,Pull — Rowing & Curl,pull,Face pull,,non,3,20,27,,,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Fentes marchées,,oui,1,12,20,12,20,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Fentes marchées,,oui,2,12,20,12,20,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Fentes marchées,,oui,3,10,22,10,22,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Extension quadriceps,,non,1,15,50,,,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Extension quadriceps,,non,2,15,50,,,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Extension quadriceps,,non,3,12,55,,,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Extension quadriceps,,non,4,12,55,,,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Romanian deadlift,,non,1,10,80,,,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Romanian deadlift,,non,2,10,80,,,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Romanian deadlift,,non,3,8,85,,,,
2026-03-14,Jambes — Fentes & Quadriceps,legs,Hip thrust,,non,1,15,80,,,,
