# SÉANCES DE MUSCULATION
date,name,type,exName,exNotes,isUnilateral,setOrder,reps,weight,repsRight,weightRight,rpe,notes
2025-10-06,Push,push,Développé militaire,,non,1,10,40,,,,
2025-10-06,Push,push,Développé militaire,,non,2,10,40,,,,
2025-10-06,Push,push,Développé militaire,,non,3,10,40,,,,
2025-10-09,Push,push,Développé militaire,,non,1,10,40,,,,
2025-10-09,Push,push,Développé militaire,,non,2,10,40,,,,
2025-10-09,Push,push,Développé militaire,,non,3,10,40,,,,
2025-10-13,Push,push,Développé militaire,,non,1,8,42.5,,,,
2025-10-13,Push,push,Développé militaire,,non,2,8,42.5,,,,
2025-10-13,Push,push,Développé militaire,,non,3,8,42.5,,,,
2025-10-16,Push,push,Développé militaire,,non,1,8,42.5,,,,
2025-10-16,Push,push,Développé militaire,,non,2,8,42.5,,,,
2025-10-16,Push,push,Développé militaire,,non,3,8,42.5,,,,
2025-10-20,Push,push,Développé militaire,,non,1,8,45,,,,Passage à 45 kg
2025-10-20,Push,push,Développé militaire,,non,2,6,45,,,,
2025-10-20,Push,push,Développé militaire,,non,3,5,45,,,,
2025-10-23,Push,push,Développé militaire,,non,1,8,42.5,,,,Retour à 42.5 pour consolider
2025-10-23,Push,push,Développé militaire,,non,2,8,42.5,,,,
2025-10-23,Push,push,Développé militaire,,non,3,8,42.5,,,,
2025-10-27,Push,push,Développé militaire,,non,1,8,45,,,,
2025-10-27,Push,push,Développé militaire,,non,2,8,45,,,,
2025-10-27,Push,push,Développé militaire,,non,3,7,45,,,,
2025-10-30,Push,push,Développé militaire,,non,1,8,45,,,,
2025-10-30,Push,push,Développé militaire,,non,2,8,45,,,,
2025-10-30,Push,push,Développé militaire,,non,3,8,45,,,,
2025-11-03,Push,push,Développé militaire,,non,1,8,45,,,,
2025-11-03,Push,push,Développé militaire,,non,2,8,45,,,,
2025-11-03,Push,push,Développé militaire,,non,3,8,45,,,,
2025-11-03,Push,push,Développé militaire,,non,4,8,45,,,,Ajout d'une 4e série
2025-11-06,Push,push,Développé militaire,,non,1,8,47.5,,,,
2025-11-06,Push,push,Développé militaire,,non,2,7,47.5,,,,
2025-11-06,Push,push,Développé militaire,,non,3,7,47.5,,,,
2025-11-10,Push,push,Développé militaire,,non,1,8,47.5,,,,
2025-11-10,Push,push,Développé militaire,,non,2,8,47.5,,,,
2025-11-10,Push,push,Développé militaire,,non,3,7,47.5,,,,
2025-11-13,Push,push,Développé militaire,,non,1,6,50,,,,Première fois à 50 kg
2025-11-13,Push,push,Développé militaire,,non,2,6,50,,,,
2025-11-13,Push,push,Développé militaire,,non,3,5,50,,,,
2025-11-17,Push,push,Développé militaire,,non,1,6,50,,,,
2025-11-17,Push,push,Développé militaire,,non,2,6,50,,,,
2025-11-17,Push,push,Développé militaire,,non,3,6,50,,,,
2025-11-20,Push,push,Développé militaire,,non,1,8,47.5,,,,Décharge — récupération
2025-11-20,Push,push,Développé militaire,,non,2,8,47.5,,,,
2025-11-20,Push,push,Développé militaire,,non,3,8,47.5,,,,
2025-11-24,Push,push,Développé militaire,,non,1,8,50,,,,
2025-11-24,Push,push,Développé militaire,,non,2,8,50,,,,
2025-11-24,Push,push,Développé militaire,,non,3,7,50,,,,
2025-11-27,Push,push,Développé militaire,,non,1,6,52.5,,,,
2025-11-27,Push,push,Développé militaire,,non,2,6,52.5,,,,
2025-11-27,Push,push,Développé militaire,,non,3,5,52.5,,,,
2025-12-01,Push,push,Développé militaire,,non,1,6,52.5,,,,
2025-12-01,Push,push,Développé militaire,,non,2,6,52.5,,,,
2025-12-01,Push,push,Développé militaire,,non,3,6,52.5,,,,
2025-12-04,Push,push,Développé militaire,,non,1,6,55,,,,Passage à 55 kg — lourd !
2025-12-04,Push,push,Développé militaire,,non,2,5,55,,,,
2025-12-04,Push,push,Développé militaire,,non,3,4,55,,,,
2025-12-08,Push,push,Développé militaire,,non,1,5,55,,,,
2025-12-08,Push,push,Développé militaire,,non,2,5,55,,,,
2025-12-08,Push,push,Développé militaire,,non,3,5,55,,,,
2025-12-11,Push,push,Développé militaire,,non,1,6,52.5,,,,Back-off pour consolider
