date,workout_name,workout_type,notes,exercise_name,set_number,reps,weight_kg,rpe
2024-01-08,Push A,push,,Développé couché barre,1,8,80,7
2024-01-08,Push A,push,,Développé couché barre,2,8,80,8
2024-01-08,Push A,push,,Développé couché barre,3,6,80,8.5
2024-01-08,Push A,push,,Développé incliné haltères,1,10,22,7
2024-01-08,Push A,push,,Développé incliné haltères,2,10,22,8
2024-01-08,Push A,push,,Développé incliné haltères,3,8,22,8.5
2024-01-08,Push A,push,,Dips,1,10,10,7
2024-01-08,Push A,push,,Dips,2,8,10,8
2024-01-08,Push A,push,,Dips,3,8,10,8.5
2024-01-08,Push A,push,,Extension triceps poulie,1,12,22,6
2024-01-08,Push A,push,,Extension triceps poulie,2,12,22,7
2024-01-08,Push A,push,,Extension triceps poulie,3,10,22,8
2024-01-10,Pull A,pull,,Tractions pronation,1,8,0,7.5
2024-01-10,Pull A,pull,,Tractions pronation,2,7,0,8
2024-01-10,Pull A,pull,,Tractions pronation,3,6,0,8.5
2024-01-10,Pull A,pull,,Rowing barre,1,8,60,7
2024-01-10,Pull A,pull,,Rowing barre,2,8,60,8
2024-01-10,Pull A,pull,,Rowing barre,3,6,60,8.5
2024-01-10,Pull A,pull,,Tirage vertical,1,10,55,7
2024-01-10,Pull A,pull,,Tirage vertical,2,10,55,8
2024-01-10,Pull A,pull,,Tirage vertical,3,8,55,8
2024-01-10,Pull A,pull,,Curl barre,1,10,30,7
2024-01-10,Pull A,pull,,Curl barre,2,10,30,8
2024-01-10,Pull A,pull,,Curl barre,3,8,30,8.5
2024-01-12,Legs A,legs,,Squat barre,1,6,90,7.5
2024-01-12,Legs A,legs,,Squat barre,2,6,90,8
2024-01-12,Legs A,legs,,Squat barre,3,5,90,8.5
2024-01-12,Legs A,legs,,Presse à cuisses,1,10,120,7
2024-01-12,Legs A,legs,,Presse à cuisses,2,10,120,8
2024-01-12,Legs A,legs,,Presse à cuisses,3,8,120,8.5
2024-01-12,Legs A,legs,,Leg curl,1,12,40,7
2024-01-12,Legs A,legs,,Leg curl,2,10,40,8
2024-01-12,Legs A,legs,,Leg curl,3,10,40,8.5
2024-01-12,Legs A,legs,,Hip thrust,1,10,80,7
2024-01-12,Legs A,legs,,Hip thrust,2,10,80,8
2024-01-12,Legs A,legs,,Hip thrust,3,8,80,8
2024-01-15,Push B,push,,Développé militaire,1,8,55,7
2024-01-15,Push B,push,,Développé militaire,2,8,55,8
2024-01-15,Push B,push,,Développé militaire,3,6,55,8.5
2024-01-15,Push B,push,,Développé couché haltères,1,10,24,7
2024-01-15,Push B,push,,Développé couché haltères,2,10,24,8
2024-01-15,Push B,push,,Développé couché haltères,3,8,24,8.5
2024-01-15,Push B,push,,Arnold press,1,10,18,7
2024-01-15,Push B,push,,Arnold press,2,10,18,8
2024-01-15,Push B,push,,Arnold press,3,8,18,8
2024-01-15,Push B,push,,Écarté haltères,1,12,14,6
2024-01-15,Push B,push,,Écarté haltères,2,12,14,7
2024-01-15,Push B,push,,Écarté haltères,3,10,14,8
2024-01-17,Pull B,pull,,Soulevé de terre,1,5,110,7.5
2024-01-17,Pull B,pull,,Soulevé de terre,2,5,110,8
2024-01-17,Pull B,pull,,Soulevé de terre,3,4,110,8.5
2024-01-17,Pull B,pull,,Rowing haltère,1,10,26,7
2024-01-17,Pull B,pull,,Rowing haltère,2,10,26,8
2024-01-17,Pull B,pull,,Rowing haltère,3,8,26,8.5
2024-01-17,Pull B,pull,,Tirage horizontal poulie,1,10,50,7
2024-01-17,Pull B,pull,,Tirage horizontal poulie,2,10,50,8
2024-01-17,Pull B,pull,,Tirage horizontal poulie,3,8,50,8
2024-01-17,Pull B,pull,,Curl marteau,1,12,16,7
2024-01-17,Pull B,pull,,Curl marteau,2,10,16,8
2024-01-17,Pull B,pull,,Curl marteau,3,10,16,8.5
2024-01-19,Legs B,legs,,Squat bulgare,1,10,18,7.5
2024-01-19,Legs B,legs,,Squat bulgare,2,8,18,8
2024-01-19,Legs B,legs,,Squat bulgare,3,8,18,8.5
2024-01-19,Legs B,legs,,Soulevé de terre roumain,1,8,70,7
2024-01-19,Legs B,legs,,Soulevé de terre roumain,2,8,70,8
2024-01-19,Legs B,legs,,Soulevé de terre roumain,3,6,70,8.5
2024-01-19,Legs B,legs,,Leg extension,1,15,45,7
2024-01-19,Legs B,legs,,Leg extension,2,12,45,8
2024-01-19,Legs B,legs,,Leg extension,3,12,45,8
2024-01-19,Legs B,legs,,Fentes,1,12,18,7
2024-01-19,Legs B,legs,,Fentes,2,10,18,8
2024-01-19,Legs B,legs,,Fentes,3,10,18,8.5
2024-01-22,Push A,push,,Développé couché barre,1,8,80,7
2024-01-22,Push A,push,,Développé couché barre,2,8,80,8
2024-01-22,Push A,push,,Développé couché barre,3,6,80,8.5
2024-01-22,Push A,push,,Développé incliné haltères,1,10,22,7
2024-01-22,Push A,push,,Développé incliné haltères,2,10,22,8
2024-01-22,Push A,push,,Développé incliné haltères,3,8,22,8.5
2024-01-22,Push A,push,,Dips,1,10,10,7
2024-01-22,Push A,push,,Dips,2,8,10,8
2024-01-22,Push A,push,,Dips,3,8,10,8.5
2024-01-22,Push A,push,,Extension triceps poulie,1,12,22,6
2024-01-22,Push A,push,,Extension triceps poulie,2,12,22,7
2024-01-22,Push A,push,,Extension triceps poulie,3,10,22,8
2024-01-24,Pull A,pull,,Tractions pronation,1,8,0,7.5
2024-01-24,Pull A,pull,,Tractions pronation,2,7,0,8
2024-01-24,Pull A,pull,,Tractions pronation,3,6,0,8.5
2024-01-24,Pull A,pull,,Rowing barre,1,8,60,7
2024-01-24,Pull A,pull,,Rowing barre,2,8,60,8
2024-01-24,Pull A,pull,,Rowing barre,3,6,60,8.5
2024-01-24,Pull A,pull,,Tirage vertical,1,10,55,7
2024-01-24,Pull A,pull,,Tirage vertical,2,10,55,8
2024-01-24,Pull A,pull,,Tirage vertical,3,8,55,8
2024-01-24,Pull A,pull,,Curl barre,1,10,30,7
2024-01-24,Pull A,pull,,Curl barre,2,10,30,8
2024-01-24,Pull A,pull,,Curl barre,3,8,30,8.5
2024-01-26,Legs A,legs,,Squat barre,1,6,90,7.5
2024-01-26,Legs A,legs,,Squat barre,2,6,90,8
2024-01-26,Legs A,legs,,Squat barre,3,5,90,8.5
2024-01-26,Legs A,legs,,Presse à cuisses,1,10,120,7
2024-01-26,Legs A,legs,,Presse à cuisses,2,10,120,8
2024-01-26,Legs A,legs,,Presse à cuisses,3,8,120,8.5
2024-01-26,Legs A,legs,,Leg curl,1,12,40,7
2024-01-26,Legs A,legs,,Leg curl,2,10,40,8
2024-01-26,Legs A,legs,,Leg curl,3,10,40,8.5
2024-01-26,Legs A,legs,,Hip thrust,1,10,80,7
2024-01-26,Legs A,legs,,Hip thrust,2,10,80,8
2024-01-26,Legs A,legs,,Hip thrust,3,8,80,8
2024-01-29,Push B,push,,Développé militaire,1,8,55,7
2024-01-29,Push B,push,,Développé militaire,2,8,55,8
2024-01-29,Push B,push,,Développé militaire,3,6,55,8.5
2024-01-29,Push B,push,,Développé couché haltères,1,10,24,7
2024-01-29,Push B,push,,Développé couché haltères,2,10,24,8
2024-01-29,Push B,push,,Développé couché haltères,3,8,24,8.5
2024-01-29,Push B,push,,Arnold press,1,10,18,7
2024-01-29,Push B,push,,Arnold press,2,10,18,8
2024-01-29,Push B,push,,Arnold press,3,8,18,8
